 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,77.186,52.820,0,0.439,1.448,2.805,6.106,14.438,0.059
2,1,1,76.451,54.496,0,0.407,1.376,2.600,5.703,13.941,0.075
3,2,0,240.621,73.036,0,0.497,1.450,2.679,5.491,12.177,0.078
4,2,1,244.043,69.559,0,0.599,1.510,2.825,5.874,13.243,0.061
5,3,0,143.690,77.286,0,0.548,1.405,2.540,5.182,11.635,0.087
6,3,1,146.775,74.846,0,0.261,1.054,1.613,2.858,5.792,0.022
7,4,0,504.678,82.486,0,1.006,1.544,2.968,6.328,14.581,0.018
8,4,1,504.067,82.783,0,0.902,1.427,2.574,5.190,11.426,0.032
9,4,2,503.750,82.304,0,0.861,1.482,2.809,5.972,13.851,0.029
10,4,3,503.899,82.676,0,0.974,1.292,2.126,3.873,7.669,0.016
11,4,4,504.429,83.463,0,1.215,1.445,2.611,5.238,11.403,0.018
12,4,5,503.633,82.618,0,1.335,1.379,2.367,4.473,9.124,0.015
13,4,6,504.121,82.156,0,1.446,1.439,2.588,5.138,11.002,0.013
14,4,7,502.434,81.527,0,0.735,1.447,2.610,5.227,11.351,0.051
15,4,8,502.751,80.765,0,1.090,1.418,2.550,5.107,11.134,0.020
16,4,9,502.138,80.518,0,1.208,1.260,2.005,3.498,6.580,0.006
17,4,10,502.053,80.940,0,1.132,1.338,2.296,4.397,9.208,0.025
18,4,11,502.626,81.112,0,1.247,1.293,2.124,3.861,7.621,0.014
19,4,12,502.244,81.084,0,1.364,1.501,2.812,5.814,12.944,0.014
20,4,13,501.798,81.395,0,1.409,1.383,2.412,4.689,9.960,0.013
21,4,14,502.579,80.712,0,1.076,1.298,2.176,4.102,8.536,0.019
22,4,15,502.471,81.607,0,1.396,1.335,2.217,4.032,7.871,0.011
23,4,16,502.430,82.206,0,1.420,1.293,2.116,3.821,7.481,0.012
24,4,17,501.813,81.358,0,1.317,1.385,2.427,4.728,10.016,0.019
25,4,18,500.538,80.604,0,1.125,1.378,2.388,4.572,9.471,0.016
26,4,19,501.447,81.713,0,1.503,1.320,2.202,4.078,8.242,0.007
27,4,20,500.688,81.041,0,1.060,1.421,2.513,4.898,10.309,0.022
28,4,21,500.927,80.803,0,0.950,1.331,2.237,4.142,8.278,0.023
29,4,22,501.568,80.466,0,0.582,1.362,2.417,4.845,10.707,0.101
30,4,23,501.219,81.332,0,0.639,1.258,2.058,3.849,8.123,0.038
31,4,24,501.576,80.942,0,1.205,1.310,2.150,3.868,7.477,0.014
32,4,25,501.163,81.070,0,1.058,1.441,2.590,5.165,11.189,0.020
33,4,26,500.614,81.104,0,0.945,1.322,2.241,4.242,8.791,0.029
34,4,27,501.287,81.500,0,1.050,1.216,1.871,3.157,5.749,0.007
35,4,28,502.668,81.327,0,1.003,1.306,2.200,4.158,8.668,0.021
36,4,29,501.726,80.692,0,1.010,1.340,2.223,4.027,7.812,0.020
37,4,30,502.408,81.402,0,1.106,1.295,2.138,3.926,7.885,0.015
38,4,31,501.577,81.101,0,1.097,1.282,2.079,3.711,7.157,0.017
39,4,32,501.382,81.204,0,1.268,1.297,2.092,3.701,7.054,0.011
40,4,33,500.651,81.133,0,1.293,1.277,2.061,3.668,7.089,0.009
41,4,34,500.586,81.350,0,0.802,1.268,2.059,3.735,7.451,0.021
42,4,35,500.528,82.476,0,0.953,1.332,2.249,4.201,8.506,0.035
43,4,36,500.637,81.589,0,1.014,1.259,2.040,3.690,7.342,0.012
44,4,37,500.306,81.763,0,0.630,1.356,2.341,4.539,9.676,0.070
45,4,38,500.598,81.625,0,0.703,1.277,2.030,3.556,6.761,0.019
46,4,39,500.862,81.798,0,0.910,1.317,2.222,4.199,8.733,0.027
47,4,40,500.146,82.487,0,1.136,1.329,2.238,4.186,8.532,0.019
48,4,41,500.320,82.315,0,1.021,1.363,2.369,4.590,9.701,0.031
49,4,42,499.900,82.358,0,0.561,1.378,2.432,4.832,10.560,0.073
50,4,43,500.470,81.863,0,0.991,1.299,2.110,3.741,7.100,0.019
51,4,44,500.823,81.251,0,0.849,1.345,2.282,4.317,8.933,0.027
52,4,45,501.101,80.953,0,1.086,1.335,2.236,4.131,8.251,0.029
53,4,46,500.795,81.049,0,1.195,1.350,2.305,4.373,9.023,0.024
54,4,47,501.243,80.756,0,1.024,1.429,2.574,5.147,11.160,0.035
55,4,48,501.097,80.657,0,0.726,1.331,2.289,4.446,9.536,0.038
56,4,49,501.086,81.037,0,1.130,1.252,2.005,3.537,6.743,0.010
57,4,50,501.167,80.752,0,1.093,1.392,2.440,4.723,9.876,0.020
58,4,51,501.197,80.767,0,1.117,1.343,2.271,4.245,8.595,0.028
59,4,52,501.196,80.827,0,0.906,1.500,2.823,5.900,13.355,0.015
60,4,53,500.253,81.773,0,0.831,1.399,2.439,4.681,9.691,0.023
61,4,54,500.729,82.454,0,0.846,1.337,2.362,4.758,10.656,0.027
62,4,55,500.619,83.096,0,0.720,1.365,2.440,4.972,11.263,0.027
63,4,56,501.083,82.420,0,0.832,1.253,1.990,3.468,6.517,0.018
